scrapedAt,page,postUrl,timestampText,exactDate,reactions,reactionsBreakdown,comments,shares,text
2026-07-02T05:46:06.557206+00:00,ctee.fans,https://www.facebook.com/ctee.fans/posts/pfbid025KLcXz7JkFGqASvL3jj1vDGdMUGMLSz8o1eSRgA2u9WosBc8WxdG87hCa9qJjYvVl?__cft__[0]=AZaa95SzgCpWXu6JSY7unODlVHHmThRmQn6DbhxkdZRodBjv2CPYla1wgI3zO5tyZYD-1yuqinbSBW1-k0a3Hz3BnQ5Hy4Aw-5DzKUFM4qo26TyIgsnQjWT_Dps5E4nq0uW7nPBbFQ8K_syjamxBQT7xitPkbNLkXd143lCmiU0T8-akzZC_V09-0mUpHzjLNwo,,"Thursday, July 2, 2026 at 1:00 PM",2,Like: 1 person; Haha: 1 person,,,"Meta傳出正評估將部分AI算力對外出租，引發市場對AI基礎建設需求是否降溫、雲端資本支出是否縮減的疑慮，消息一出立即衝擊AI概念股表現，GPU雲端服務商CoreWeave股價單日重挫13%，Nebius跌幅達15%，晶片、伺服器等AI硬體供應鏈同步承壓。
…
 
See more"
2026-07-02T05:46:06.557206+00:00,ctee.fans,https://www.facebook.com/ctee.fans/posts/pfbid0ihAGgAVpKERAzCieNBqMRuq2AtghJDsmGfijm7qMNgKRAnNQu4PTZMkaXTmpH8MSl?__cft__[0]=AZaEp_qiVecAueB1AwZMlS9Ngyrd5k63CFMobi50P2lSZw59DP9J2_xqdLrtFuNm0DDb1vydJ4uQqh_jNDaRSjdLhamlIT3BkMOLFr4qMqqEliGvX5QZoL4R66LX1GkNruwMgQM9Wllehop2qTRfwQB4GpeCIoqAYZ3wiiPVe9TUrUarXv7rEL9OBroR9EguSi0,,"Thursday, July 2, 2026 at 12:40 PM",10,Like: 10 people,,,"外資喊天價！花旗環球賦予ABF三雄的投資評等都是「買進」
ABF一路缺到2027年"
2026-07-02T05:46:06.557206+00:00,ctee.fans,https://www.facebook.com/ctee.fans/posts/pfbid02aZvAyCH38RHdXKpfC5NXVS89CeC3GwmgMufA6BZcFFN6KiBLo873tHj7pcW4HQCSl?comment_id=1550802256568285,1h,"Thursday, July 2, 2026 at 12:15 PM",2,Like: 2 people,,,"【7／2盤中熱門焦點股】… 
See more"
2026-07-02T05:46:06.557206+00:00,ctee.fans,https://www.facebook.com/ctee.fans/posts/pfbid06GVSKZ9f1Ka6bCD3u2wqSau7LcWQceiK9QxLFtvxmGa6nBBRvb7yu7U7PFXbhC1fl?__cft__[0]=AZah4UzbaaVg1_szBg5ywd1APtN1v6dzzhOOHuoPbFyVZ6lkpq31kCEWgEq2IZnGZQXcGcBfFF7YZnPFbP5GhmYumtzBVdoM6REoxFsf4yoEtfhPjeU1-1mrIdg3phrIXV1SIKytqnawu1paxS0YFMzf32ClXQjGd-CigQb0s_UBOEKXOWmOirCs4_nfwB35xdQ,,"Thursday, July 2, 2026 at 12:00 PM",25,Like: 25 people,,,"媒體報導美國總統川普1日接受媒體訪問時表示，台灣正將亞利桑那州興建中的晶圓廠規模擴大1倍，有助於在其任期結束前將美國晶片市占率提高至50%。… 
See more"
2026-07-02T05:46:06.557206+00:00,ctee.fans,https://www.facebook.com/ctee.fans/posts/pfbid021FE5UajTmjibT3Jy5f4LhXg1yuVLqgnEqCUAn8dpqZ27DFB6fu4UjLinXMJfYqhUl?__cft__[0]=AZb17G-lTsImuDBDjTmvOc_hd4ey-4i6g6NYbDyN_4NlUi1KOX1o1PUuESV2mR1Q0mF0Ra2VEVW2-jS26yeATRxk3e2XuGV1uGEhnsPbI0BtYexeQF50WePtncBN-ckaoOzeSrNuQlpfeqCOAdLRh0NhpQZWvi4PuhlHKxE_-OzoA2cCdSJD1AJ5diBsJfYWiRI,,"Thursday, July 2, 2026 at 11:30 AM",17,Like: 17 people,,,"全球AI產業鏈在下半年首個交易日遭遇震盪，Meta傳出將跨足AI雲端服務、出售內部多餘算力與AI模型服務，引發市場重新評估全球AI基礎建設投資週期，也讓近期漲幅驚人的記憶體與AI晶片股同步遭遇獲利了結賣壓，美光、SanDisk單日重挫逾10%。… 
See more"
2026-07-02T05:46:06.557206+00:00,ctee.fans,https://www.facebook.com/ctee.fans/posts/pfbid029RxoxpCsEVXvXma2yyztoA5YiNWxmv8WNspa21zobA1uuXz2Vazm87zraQiG9tfsl?__cft__[0]=AZa-rPIiCG8bEZScbHASi_vpO0KvsxYdVwvrECHKXu9iyXPfIw8Sn1lepYXBpsDScolp_kGRoVq1HTYciu-V4a1e08f0wa5T7oFAFmw0knbn6ykwIxs5g5KI_ZsB1ThOmPijlZEhYJHQHfNOF0A5EHlusYfHQ8s0y0Hx_KpCX3BnIORuz4T9PJtRVuhpcpEP_jE,,"Thursday, July 2, 2026 at 10:58 AM",12,Like: 12 people,,,台積電ADR昨日跌近7％，台股今（2）日一開盤跳水千點，惟台塑集團股今天逆勢突圍，由台塑（1301）及南亞（1303）領軍大漲，塑膠類股指數勁揚逾5％，成為台股最閃亮的族群
2026-07-02T05:46:06.557206+00:00,ctee.fans,https://www.facebook.com/ctee.fans/posts/pfbid034bHtgjdutid3L9aAzLWYyfiP4kvbcR7FB2xmQ8u3ZJNn8VgfpAW7PT8zSZPbYSxzl?__cft__[0]=AZYNoqKPRfjNNMU_Pd1qG1LyRzSmOLU5ZqYZtrNlloAKAKPMyd2KYY3M9_p5JXQAAqrxSmxL23NHGo4g0jK37TgTSmyKzne82vhN5vfRpFd4Vm14vCmzQSBiwQ25BV-6iheazKhwiRJxPkNDWLfKS3zCw5XhOsyX_P8q6Smpi3MW984NRynCMd8sUR9ySSbigRY,,"Thursday, July 2, 2026 at 10:40 AM",23,Like: 21 people; Love: 2 people,,,"480萬股東領紅包！… 
See more"
2026-07-02T05:46:06.557206+00:00,ctee.fans,https://www.facebook.com/ctee.fans/posts/pfbid02c7uZqRpRwgdoQUzqQQpxh8L6gUqq3z4dpbCqtDa75S4JQ2DA8Uqf9oVQaecmQLkil?__cft__[0]=AZb1E8bZeSVOdMMvYczMorfxcN8aCBu_mS7SqxAqdUWCMeSseFe9wQ-7NS7sD9ejDiloqBJMsJgCVDfIdHqca5AOVVysbMTzC7jVSCvAr1ljYtzFS1yajNGWvCapZTufeaEKeajcrnxS9yMnq2cK0sZWeAnKkKTxW6Fc2fYFDdx1456przoijYU1dVwdDFYTtbk,,"Thursday, July 2, 2026 at 10:19 AM",37,Like: 33 people; Wow: 4 people,,,根據知名半導體研究機構SemiAnalysis最新消息，谷歌（Google）下一代代號Humufish的TPU將不再採用台積電廣泛使用的CoWoS先進封裝，而是轉向英特爾最新的EMIB-T封裝技術。若消息屬實，將是AI時代首次有旗艦級AI晶片從CoWoS體系轉向其他封裝方案，也讓先進封裝競爭正式進入新階段…
2026-07-02T05:46:06.557206+00:00,ctee.fans,https://www.facebook.com/ctee.fans/posts/pfbid02H8rJQ8ae8Awacn8weE6DdqR6B4QNfDa9dWetPqj15KT31o4TQA4jvVSSauX7Hurpl?__cft__[0]=AZabwYLItqjLGjL5GUDib7ZAj4eg3v7cxudAtvs2VEP8sRip8YEl9Ho_nZufZ78ZFNH3PTyUFnA5PM6aagEbkFvbHOKZDFu0bam_RgQr1PjMcb27zcXPwWlqSE5u9lmcOWwQPXqPCrEEJ1vaxlmV6s9tGezvIbsWUPPOxi_T1QaRGgsDz3m0A47tzBDHkV-h_GE,,,12,Like: 12 people,,,"大立光1日公告，將於7月9日舉辦法說會，屆時將公布第二季業績並說明年第三季營運展望；同時，大立光在共同封裝光學（CPO）的最新進展也備受矚目。… 
See more"
2026-07-02T05:46:06.557206+00:00,ctee.fans,https://www.facebook.com/ctee.fans/posts/pfbid02Z7pseNmg8EMUhoqb42PY1ETBiUdSmopb9x8gEjdZsQRtmHrJaddzY4SpxApiPzCAl?__cft__[0]=AZbMFKWXbvcHrKZWP_R-kh7oKQkkL6yB9YPiSqRDxwCAOmzLXbyc0oZMLMj5AgJ5GjR_huKZA3697VYh1kRMGxZtDEBIDMSKVKWBoYt2-pw7UlVFw2UwXHR3co-UV9Vke-EMcvty-6dETNS5p8ZJD9nFi00GRZY9_iVFnjqGujfwd2NTVu4GGefMtHz0gcfsvvU,,"Thursday, July 2, 2026 at 9:40 AM",8,Like: 7 people; Haha: 1 person,,,健亞（4130）與易威（1799）合併案再獲重大進展。智慧財產及商業法院1日裁定，駁回強生（4747)聲請禁止健亞執行股份轉換的定暫時狀態處分，認為強生未能釋明股東會決議違法的勝訴可能性，也未證明有急迫且無法回復的重大損害，因此認定無保全必要性，全案聲請駁回，程序費用由強生負擔。
