scrapedAt,page,postUrl,timestampText,exactDate,reactions,reactionsBreakdown,comments,shares,text
2026-07-02T06:10:12.310597+00:00,yutinghaosfinance,https://www.facebook.com/yutinghaosfinance/posts/pfbid02gCg5kp5peh2g29WF4PNVXHifjUDe1cV6aRjZLEteS4aTTdhVP4c5B9o8JG6RmfsTl?__cft__[0]=AZYTdDTkGC0mphzcdiuAu3JGlBQ3_JN6dhHbFbaA9GiPa-9h2o9GvLWOuBxvINi9FT3YsEHsX0SxfvjFI6GhHi2R5Z1uEXwSgAZMCc3DpygLuWIQ9WbKF0Ib-YXDeM49hpaIgVvBkphTGAIm95cckm8LvJl0ZxwjIID7xiIJvDU1XIn_6SG_13EFiDPZ1jq_XwE,,"Thursday, July 2, 2026 at 1:48 PM",1,Like: 1 person,,,"美國最大電網拉警報。最大電網營運商PJM Interconnection近日宣布進入電網緊急狀態，因美國東部熱浪來襲，大量家庭與企業同時開啟空調，用電需求急速攀升。
…
 
See more"
2026-07-02T06:10:12.310597+00:00,yutinghaosfinance,https://www.facebook.com/yutinghaosfinance/posts/pfbid026AvLKzkzE4dAPqA2aWDGNwyeXWC8D4vDwxxBHzMKb4D3N9MtUutcoUrq89T7N7Fsl?comment_id=1335212758686471,1m,"Thursday, July 2, 2026 at 1:45 PM",29,Like: 26 people; Haha: 3 people,,,"證交所正評估延長台股交易時間，方案包括延長1小時、1.5小時，或將收盤時間調整至下午2點30分（與日本股市下午3點30分同步），並維持現行一盤到底不午睡制度。… 
See more"
2026-07-02T06:10:12.310597+00:00,yutinghaosfinance,https://www.facebook.com/yutinghaosfinance/posts/pfbid0wuVFpHUNgaZAPHJAvvoAVJc7n9dqHWKNL5EweJh4a9PtLVekjxCrGAFdNKWapHBCl?__cft__[0]=AZZrOqpV_1telRfMXIMCOjb_Hm6dhi8UDRWPQ9bvMUUwMwXyjBYr4Ok1inOGZK_YGMVIQKeyV1lzjQYQ_fIY9G02thyzOwpakmMhn3ksibo637IeuXZ_JwsgkbNi3htnflebMnyoSsIHk3KFUzfpnTcQqc2UGgXEg12fe9ssLkrNwfsomf-wOskgYCOj7QzefVo,,"Thursday, July 2, 2026 at 1:43 PM",7,Like: 7 people,,,"全球小型核電廠遍地開花。根據OECD核能署統計，截至2026年，美國已宣布28個SMR選址計畫，數量超過後面四個國家的總和，居全球第一。… 
See more"
2026-07-02T06:10:12.310597+00:00,yutinghaosfinance,https://www.facebook.com/yutinghaosfinance/posts/pfbid0TQhf1sg4uBd6HfK9r93up7ypywFRm6xdMKihKvPVsPQXUwWEuYHUM58czC2Vht75l?__cft__[0]=AZYmwsQqBZEY3DGkk9Rz1NImh5qm3Dliuklrw-2EcH8VzIe4_oP3Cc7bXXZTsg24dXWebqfRwGj-awUvlEOKBPXvUxB6DSkFSEwpr9DmSwXzS5fNavSsK-Ryn9VoJK0Q4T0Us38f6rKupo748sJSCH7WIl91mxp0vjpg7SmrGI8_y2qULuWwCz8pm6OTDHnrlao,,"Thursday, July 2, 2026 at 1:42 PM",6,Like: 6 people,,,"最新Lancet Countdown報告顯示，歐洲因高溫導致的死亡率持續攀升，疫情後平均每年每10萬人，有5.5人死於高溫相關原因，幾乎是1992年至2001年間水準的兩倍。… 
See more"
2026-07-02T06:10:12.310597+00:00,yutinghaosfinance,https://www.facebook.com/yutinghaosfinance/posts/pfbid0PnN3AmhEhTcWUj2tucQZFFp9PfiYx35Lk9ujtKiRCb1FPUz5UbJkUqREyHAob9JCl?comment_id=1525266332474067,3m,"Thursday, July 2, 2026 at 1:41 PM",147,Like: 118 people; Haha: 29 people,,,"投胎難度越來越高。根據聯合國統計，2025年全球出生人口已分成兩大陣營，一邊是總生育率高於人口替代水準2.1人的國家，人口仍持續自然成長；另一邊則低於2.1人，長期將面臨人口老化、勞動力減少與移民需求增加。… 
See more"
2026-07-02T06:10:12.310597+00:00,yutinghaosfinance,https://www.facebook.com/yutinghaosfinance/posts/pfbid0cTnSyY5aLjmdso2T38xqAL1sdSR3rtoy6vw6sjyWGnewPW21sTFzeyc8gm2EhiMHl?__cft__[0]=AZbiaVIrACplvxweKxBiyEUYtBMyOBK4BdAax5nEOnKtf_gdhv4iRBwqNRoH5pdKbAlvFur1PWkpOnCJ-zg4_taV5Q4S8qUjO6C5Ew6NnTIHCJWE-joZVzyCeV89kCz0eYUL5pPbM9C7hCEpydBgrnBM6QuxVttLp2k4I3pmNBLPc5O4BKheTUKGxfsmI8We01s,,"Thursday, July 2, 2026 at 1:39 PM",24,Like: 24 people,,,"UNIQLO正加速全球布局，目標在未來五年大幅擴張歐美市場，挑戰Zara母公司，Inditex及H&M的全球龍頭地位。… 
See more"
2026-07-02T06:10:12.310597+00:00,yutinghaosfinance,https://www.facebook.com/yutinghaosfinance/posts/pfbid02YWYvzuzUFyzDpozFJziXLhimPiygMoxMFr5EzaSiQzcHAFhL2dzwo4SKEaDuNqcol?__cft__[0]=AZZpMDsM0ZJRLIumX7W3YLUPE_8a8g6bqK-taBLxjJRe-yuvHQGU18OJyo44JpFsFub8NP_unW6aIi-uaVCjtsXssyshecUUSFT9us6nIJV3HXJ7DXlSShHtRGqBEbsM4Tq_Xum1ngx7TMFKoGvZXLiQBs-urTW9lWfQZZb-KvDWOzYBy4Xc_1o62u6m3zA6URk,,"Thursday, July 2, 2026 at 1:37 PM",13,Like: 13 people,,,"壽險業不動產投資熱度持續升高，央行統計顯示，截至2026年5月底，壽險業不動產投資餘額已達1.699兆元，續創歷史新高，距離1.7兆元大關只差一步。… 
See more"
2026-07-02T06:10:12.310597+00:00,yutinghaosfinance,https://www.facebook.com/yutinghaosfinance/videos/908023812316842/?__cft__[0]=AZYErnXsrSJfghnyil1BRRiG9pbiQE6GvgyfKtfnOcjLG_VtwB4iCYQdTOaf_63Gi_YuERfBNxnZ_gC7tT-CBcPvuRteumsIuayEgl1j48caYRP5mEFCe0as0KxK5e-Rdxh9FAZ7nM982ZukEmlqCBCrBfvD_EWzCTOPHjy20Zhwa4eJ_2ntCn0UEvN7_8tj5t3PbHskmF2AHdzKz_u0rWov,,"Thursday, July 2, 2026 at 8:31 AM",301,Like: 301 people,,,"2026/7/2(四)AI投資進挑選時代 不再閉眼買就會漲?【早晨財經速解讀】… 
See more"
2026-07-02T06:10:12.310597+00:00,yutinghaosfinance,https://www.facebook.com/yutinghaosfinance/posts/pfbid02pXvrfcnYgn5NVXXE4WaJsPKB5YonmLZKnsDS1U8q6cv8dCiPm73zunLkF3DrBTUNl?comment_id=997658019827265,49m,"Wednesday, July 1, 2026 at 1:17 PM",173,Like: 1.9K people; Wow: 172 people,,,"台灣鰻魚失守日本市場，面臨近30年來最嚴峻的低潮。去年東亞鰻苗大豐收，養殖戶大量放苗，供給暴增，加上中國以低價產品快速搶占日本市場，導致今年價格崩跌。… 
See more"
2026-07-02T06:10:12.310597+00:00,yutinghaosfinance,https://www.facebook.com/yutinghaosfinance/posts/pfbid02mRqnRREBoiF5XZ317M9uJTMJ4Cf153UQBbnAjXX3bFjcWqP53jdAGupJmwEKyhYkl?comment_id=2563353000789294,9h,"Wednesday, July 1, 2026 at 1:13 PM",241,Like: 241 people,,,"美國近年整體凶殺率持續下降，但警方開槍擊斃民眾的案件卻增加，形成明顯反差。… 
See more"
