timestamp,likes,comments,hasImages,postUrl,text
"2026-07-23T15:16:06.590+08:00","4","0",yes,"https://www.linkedin.com/feed/update/urn:li:activity:7485944320701771776/","HBM $/rack goes from ~$150-300k/rack in Blackwell to ~$400k/rack in Vera Rubin."
"2026-07-23T00:16:06.590+08:00","8","0",yes,"https://www.linkedin.com/feed/update/urn:li:activity:7485899051343708160/","SK Hynix is expected to bring in $231 Billion of revenue this year up from $67B last year."
"2026-07-22T22:16:06.590+08:00","1","0",yes,"https://www.linkedin.com/feed/update/urn:li:activity:7485867826025508864/","The AI boom leading to Semi boom 🚀"
"2026-07-22T21:16:16.318+08:00","6","1",yes,"https://www.linkedin.com/feed/update/urn:li:activity:7485717810493407232/","China’s Battery dominance 🔋⚡️"
"2026-07-22T16:16:16.318+08:00","13","0",yes,"https://www.linkedin.com/feed/update/urn:li:activity:7485695175017619456/","TSMC's CFO Wendell Huang shared last week that the firm is seeing strong demand from US customers. The executive's comments came after the Taiwanese firm's latest earnings report, which also saw it announce an additional $100 billion investment in the US. Huang outlined that TSMC's 3-nanometer facilities in the US should come online by the second half of next year and added that the costs of building facilities in the US were higher than in Taiwan."
"2026-07-22T16:16:16.318+08:00","7","0",yes,"","Artificial Intelligence is not developed, rather raised like Human Beings in their houses.   Datacenters are home for AI."
"2026-07-22T16:16:16.318+08:00","7","0",yes,"","Data Center & Power Demand ⚡️  > Massive Deficit: Demand for data centers continues to heavily outpace supply. In 2025, only 8.9 GW of capacity was lit in North America against nearly 21.1 GW of demand, resulting in a ~12 GW deficit.  > Extended Timelines: Hyperscalers traditionally commit to capacity deliverable within 12–18 months, but due to constraints, this window is expected to widen to 24+ months.  > Hyperscaler Capex Scaling: Mega-cap tech capital expenditure is on pace to reach $770B in CY26E (up 74% YoY), which is nearly 5x the $156B deployed in CY23.  > AI Chip Metrics: Bottom-up accelerator chip sales imply ~30 GW of global AI power demand in 2026E. North America accounts for 19 GW of this demand, nearly double the 10.3 GW of new capacity expected to come online.  > Surging Backlogs: The combined cloud backlog surged to $2T in 1Q26, growing three times faster than capex since 2023.  The Six Physical Supply Constraints  > EPC / Construction Labor (2026 Binding Constraint): Reaches its supply ceiling at 10.4 GW. Access to skilled craft labor and electrical trades is currently the most significant bottleneck in the ecosystem.  > Cooling Systems (2028 Binding Constraint): Reaches an 11.4 GW ceiling in 2026 and becomes the primary binding constraint from 2028 onward as chip densities demand highly complex liquid- and hybrid-cooling architectures.  > Power Availability: Set at an 11.6 GW ceiling for 2026. While technically above labor/cooling limits, the US interconnection queue faces long wait times (median 5–8 years). Behind-the-meter (BTM) solutions are increasingly emerging as workarounds.  > Electrical Equipment: Bounded at 12.4 GW. Backlogs for critical components like switchgear are expanding at 2–4x the rate of revenue delivery, with lead times reaching 52–65 weeks.  > Power Transformers: Bounded at 13.2 GW. Lead times for custom-engineered large power transformers routinely exceed 24 to 36 months.  > Power Transformers: Bounded at 13.2 GW. Lead times for custom-engineered large power transformers routinely exceed 24 to 36 months.  $GEV $VRT $TT $CARR $FPS"
"2026-07-22T16:16:35.253+08:00","5","0",yes,"","Smartphones market share in India. 🇮🇳"
"2026-07-22T16:16:35.253+08:00","17","0",yes,"","I can’t believe today Intel is major part of Nvidia portfolio, feels like a fairy tale 😅  This shows Jensen Huang as a true definition of great founder.   We all know how ruthless is tech industry. 🤔"
"2026-07-22T16:16:35.253+08:00","3","0",yes,"","Riding the AI memory wave 🌊 🚀"
