timestamp,views,likes,retweets,replies,hasImages,keywords,tweetUrl,text,translated_text
2026-07-08T03:19:51.000+08:00,6231,74,10,1,yes,"red phosphorus; bw china; cut japan; src replace; suppliers domestic","https://x.com/tphuang/status/2074574130469343399","In the current resource war bw China & Japan, electronic-grade red phosphorus might've been cut off by Japan starting July 1st.  China's top InP producer 云南锗业 recently said it has found domestic high purity phosphorus src to replace Japanese suppliers.  Domestic 6N/7N red","In the current resource war bw China & Japan, electronic-grade red phosphorus might've been cut off by Japan starting July 1st.  China's top InP producer 云南锗业 recently said it has found domestic high purity phosphorus src to replace Japanese suppliers.  Domestic 6N/7N red"
2026-07-08T08:50:42.000+08:00,1870,28,1,,yes,"advanced packaging; packaging; china advanced","https://x.com/tphuang/status/2074657392877330830","The big 3 of China's advanced packaging industry","The big 3 of China's advanced packaging industry"
2026-07-08T07:00:02.000+08:00,1695,20,1,,yes,"zcode release; features fixes; looking changelog; speed unbelievably; commentary continue","https://x.com/tphuang/status/2074629542107283908","After a weekend,  @Zai_org  out w/ another ZCode release & a whole bunch of features & fixes.  It also feels like the step-by-step commentary continue to get better. Looking through its changelog  https:// zcode.z.ai/en/changelog, the release speed is unbelievably frequent.","After a weekend,  @Zai_org  out w/ another ZCode release & a whole bunch of features & fixes.  It also feels like the step-by-step commentary continue to get better. Looking through its changelog  https:// zcode.z.ai/en/changelog, the release speed is unbelievably frequent."
2026-07-08T03:26:00.000+08:00,2452,14,3,1,yes,"refining 7n; inp produced; phosphorus; indium combining; multi crystal","https://x.com/tphuang/status/2074575678939259307","How 7N InP is produced. Start w/  first refining 7N Indium Then Combining 7N Indium w/ 6N phosphorus in high temperature & react for InP multi crystal Using LEC/VGF to grow 7N InP Single crystal Ingot Finally, substrate processing w/ stripping, washing to get finished product","How 7N InP is produced. Start w/  first refining 7N Indium Then Combining 7N Indium w/ 6N phosphorus in high temperature & react for InP multi crystal Using LEC/VGF to grow 7N InP Single crystal Ingot Finally, substrate processing w/ stripping, washing to get finished product"
2026-07-08T03:30:58.000+08:00,1275,11,1,,yes,"red phosophorus; domestic optical; ig gets; start 云南锗业","https://x.com/tphuang/status/2074576929768734995","What caused this to start. 云南锗业 reported on 6/29 that ig gets high purity red phosophorus mostly from domestic suppliers. It currently has 100k way of capacity & validating w/ domestic optical suppliers for 800G & 1.6T.","What caused this to start. 云南锗业 reported on 6/29 that ig gets high purity red phosophorus mostly from domestic suppliers. It currently has 100k way of capacity & validating w/ domestic optical suppliers for 800G & 1.6T."
2026-07-08T01:48:43.000+08:00,6668,82,18,3,yes,"china industrial; korean brand; jaka just","https://x.com/tphuang/status/2074551198477324316","China's industrial robot share by country of the brand: Chinese brands like Estun, Innovance, Efort & Jaka had just 28% share in 2020 but is now well over 50%.  Japanese/Korean brand shrunk from 55% to 30%? European/American brand was at 18% & looks to be just a little under that","China's industrial robot share by country of the brand: Chinese brands like Estun, Innovance, Efort & Jaka had just 28% share in 2020 but is now well over 50%.  Japanese/Korean brand shrunk from 55% to 30%? European/American brand was at 18% & looks to be just a little under that"
2026-07-08T01:06:35.000+08:00,2529,33,5,1,yes,"thailand auto; h1 toyota; mkt june; byd catch","https://x.com/tphuang/status/2074540593582108792","Thailand auto mkt in June & 1st half of 2026: BYD had 4824 in June & 25890 in H1 Toyota is the far & away leader as 1 might expect, but possible for BYD to catch up to Honda. MG, Chery, Geely & GAC Aion are also in the top 10","Thailand auto mkt in June & 1st half of 2026: BYD had 4824 in June & 25890 in H1 Toyota is the far & away leader as 1 might expect, but possible for BYD to catch up to Honda. MG, Chery, Geely & GAC Aion are also in the top 10"
2026-07-07T21:06:00.000+08:00,2064,17,1,,no,"glm zai_org; zha chinas; posting livestream; experience kimi; did carlzha","https://x.com/tphuang/status/2074480051639210353","Just posting here the livestream that I did with  @CarlZha  last week on GLM-5.2 &  @Zai_org   I've really had good experience w/ it & also w/ Kimi 2.6/2.7.  https:// tphuang.substack.com/p/my-discussio n-with-carl-zha-on-chinas …","Just posting here the livestream that I did with  @CarlZha  last week on GLM-5.2 &  @Zai_org   I've really had good experience w/ it & also w/ Kimi 2.6/2.7.  https:// tphuang.substack.com/p/my-discussio n-with-carl-zha-on-chinas …"
2026-07-07T18:47:21.000+08:00,3409,38,4,1,yes,"nev sales; yoy bev; china broken; monthly","https://x.com/tphuang/status/2074445159056503059","NEV monthly sales out of China broken down by BEV & PHEV for 2025/5 to 2026/5  Totally auto sales down YoY, NEV sales also down YoY, but BEV sales are up","NEV monthly sales out of China broken down by BEV & PHEV for 2025/5 to 2026/5  Totally auto sales down YoY, NEV sales also down YoY, but BEV sales are up"
2026-07-07T10:36:52.000+08:00,4378,68,8,3,yes,"betavoltaic battery; sic energy; power microcontrollers; μw 16; mems sensors","https://x.com/tphuang/status/2074321724678578674","Carbon-14 betavoltaic battery combined w/ SiC energy converter delivers 1.13 μW in its 16.8 cm3 compact package. Can theoretically operate for several thousand yrs.  Sufficient for MEMS sensors, RF-ID tags, low-power microcontrollers in sleep mode, and data loggers — but not for","Carbon-14 betavoltaic battery combined w/ SiC energy converter delivers 1.13 μW in its 16.8 cm3 compact package. Can theoretically operate for several thousand yrs.  Sufficient for MEMS sensors, RF-ID tags, low-power microcontrollers in sleep mode, and data loggers — but not for"
